ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
273,PHU YAI,,,,phut1244,traditional,wurm1981pacific,features,feature,map_1
274,TAMPUAN,,,,tamp1251,traditional,wurm1981pacific,features,feature,map_1
277,KUY,,,,kuyy1240,traditional,wurm1981pacific,features,feature,map_1
278,KUY,,,,kuyy1240,traditional,wurm1981pacific,features,feature,map_1
279,CHAM,,,,east2563,traditional,wurm1981pacific,features,feature,map_1
282,MNONG,,,,mnon1259,traditional,wurm1981pacific,features,feature,map_1
292,PEAR,,,,pear1247,traditional,wurm1981pacific,features,feature,map_1
293,SAMRE,,,,somr1240,traditional,wurm1981pacific,features,feature,map_1
294,CHAM,,,,west2650,traditional,wurm1981pacific,features,feature,map_1
298,CHONG,,,,chon1284,traditional,wurm1981pacific,features,feature,map_1
299,SOMRAY/CHONG,,,,somr1240,traditional,wurm1981pacific,features,feature,map_1
300,KHMER,,,,cent1989,traditional,wurm1981pacific,features,feature,map_1
306,SUOY,,,,suoy1242,traditional,wurm1981pacific,features,feature,map_1
307,SAOCH,,,,saoc1239,traditional,wurm1981pacific,features,feature,map_1
311,MEO,,,,hmon1337,traditional,wurm1981pacific,features,feature,map_1
312,YAO,,,,mien1242,traditional,wurm1981pacific,features,feature,map_1
314,YAO,,,,mien1242,traditional,wurm1981pacific,features,feature,map_1
319,MUONG,,,,muon1246,traditional,wurm1981pacific,features,feature,map_1
326,CAOLAN,,,,caol1238,traditional,wurm1981pacific,features,feature,map_1
327,CAOLAN,,,,caol1238,traditional,wurm1981pacific,features,feature,map_1
329,YAO/MEO,,,,hmon1336,traditional,wurm1981pacific,features,feature,map_1
330,NYAKUR,,,,nyah1250,traditional,wurm1981pacific,features,feature,map_1
331,M,,,,monn1252,traditional,wurm1981pacific,features,feature,map_1
332,KHMER,,,,cent1989,traditional,wurm1981pacific,features,feature,map_1
333,TONGA',,,,tong1308,traditional,wurm1981pacific,features,feature,map_1
335,NYAKUR,,,,nyah1250,traditional,wurm1981pacific,features,feature,map_1
342,MON,,,,moni1258,traditional,wurm1981pacific,features,feature,map_1
347,UGONG,,,,ugon1239,traditional,wurm1981pacific,features,feature,map_1
352,PHALO,,,,phal1255,traditional,wurm1981pacific,features,feature,map_1
355,LISU,,,,lisu1250,traditional,wurm1981pacific,features,feature,map_1
356,YAO,,,,mien1242,traditional,wurm1981pacific,features,feature,map_1
358,LAHU,,,,lahu1253,traditional,wurm1981pacific,features,feature,map_1
359,LAVIA,,,,awac1238,traditional,wurm1981pacific,features,feature,map_1
360,KAREN,,,,kare1337,traditional,wurm1981pacific,features,feature,map_1
362,MPI,,,,mpii1239,traditional,wurm1981pacific,features,feature,map_1
